"CBSA","CBSA Code","Year","Days with AQI","Good Days","Moderate Days","Unhealthy for Sensitive Groups Days","Unhealthy Days","Very Unhealthy Days","Hazardous Days","Max AQI","90th Percentile AQI","Median AQI","Days CO","Days NO2","Days Ozone","Days PM2.5","Days PM10"
"Charleston-North Charleston, SC","16700",2024,366,264,102,0,0,0,0,90,58,44,0,1,147,218,0
"Charlotte-Concord-Gastonia, NC-SC","16740",2024,366,152,209,4,1,0,0,156,74,53,0,1,142,223,0
"Charlottesville, VA","16820",2024,356,281,75,0,0,0,0,85,55,40,0,0,146,210,0
"Chattanooga, TN-GA","16860",2024,366,155,208,3,0,0,0,126,69,52,0,0,89,277,0
"Cheyenne, WY","16940",2024,366,271,91,3,1,0,0,151,67,45,0,1,332,31,2
"Chicago-Naperville-Elgin, IL-IN-WI","16980",2024,366,95,254,15,2,0,0,166,87,56,0,15,111,213,27
"Chico, CA","17020",2024,366,231,133,0,1,1,0,213,71,46,0,0,243,115,8
"Cincinnati, OH-KY-IN","17140",2024,366,131,221,14,0,0,0,147,77,54,0,6,116,243,1
"Claremont-Lebanon, NH-VT","17200",2024,366,334,32,0,0,0,0,80,49,35,0,0,279,87,0
"Clarksburg, WV","17220",2024,113,91,22,0,0,0,0,60,54,34,0,0,0,113,0
"Clarksville, TN-KY","17300",2024,366,271,95,0,0,0,0,84,57,42,0,0,138,228,0
"Clearlake, CA","17340",2024,363,361,2,0,0,0,0,67,41,32,0,0,357,6,0
"Cleveland, MS","17380",2024,366,243,123,0,0,0,0,98,58,44,0,0,97,269,0
"Cleveland-Elyria, OH","17460",2024,366,134,223,9,0,0,0,136,79,55,2,2,118,231,13
"Clinton, IA","17540",2024,365,230,135,0,0,0,0,90,59,46,0,0,140,225,0
"Coeur d'Alene, ID","17660",2024,355,291,63,1,0,0,0,109,57,24,0,0,0,355,0
"College Station-Bryan, TX","17780",2024,353,232,120,1,0,0,0,102,58,39,0,0,0,353,0
"Colorado Springs, CO","17820",2024,366,202,150,12,2,0,0,166,80,49,0,0,324,42,0
"Columbia, MO","17860",2024,259,244,15,0,0,0,0,77,48,39,0,0,259,0,0
"Columbia, SC","17900",2024,366,210,155,1,0,0,0,141,61,47,0,2,101,263,0
"Columbus, GA-AL","17980",2024,366,192,167,7,0,0,0,127,67,49,0,0,64,302,0
"Columbus, IN","18020",2024,366,262,103,1,0,0,0,101,58,44,0,0,215,151,0
"Columbus, OH","18140",2024,366,150,211,5,0,0,0,118,73,54,0,1,103,242,20
"Concord, NH","18180",2024,214,205,9,0,0,0,0,74,46,37,0,0,214,0,0
"Cookeville, TN","18260",2024,361,302,59,0,0,0,0,74,53,32,0,0,0,361,0
"Corning, NY","18500",2024,365,321,44,0,0,0,0,68,52,37,1,0,271,93,0
"Corpus Christi, TX","18580",2024,366,178,172,15,1,0,0,153,81,51,0,0,100,266,0
"Corsicana, TX","18620",2024,366,205,153,8,0,0,0,129,77,48,0,0,213,153,0
"Crescent City, CA","18860",2024,289,232,55,2,0,0,0,125,54,32,0,0,0,289,0
"Crestview-Fort Walton Beach-Destin, FL","18880",2024,366,341,25,0,0,0,0,74,50,36,0,0,361,0,5
"Dallas-Fort Worth-Arlington, TX","19100",2024,366,86,226,44,9,1,0,203,115,59,0,5,153,207,1
"Dalton, GA","19140",2024,277,234,43,0,0,0,0,77,58,41,0,0,229,48,0
"Daphne-Fairhope-Foley, AL","19300",2024,355,278,77,0,0,0,0,90,58,40,0,0,127,228,0
"Davenport-Moline-Rock Island, IA-IL","19340",2024,366,224,142,0,0,0,0,90,61,46,0,0,151,157,58
"Dayton, OH","19380",2024,366,218,144,4,0,0,0,147,67,47,0,0,179,187,0
"Decatur, AL","19460",2024,366,264,102,0,0,0,0,86,58,44,0,0,127,239,0
"Decatur, IL","19500",2024,366,238,127,1,0,0,0,101,59,43,0,0,133,233,0
"Deltona-Daytona Beach-Ormond Beach, FL","19660",2024,360,292,68,0,0,0,0,76,54,41,0,0,198,162,0
"Deming, NM","19700",2024,365,341,20,3,1,0,0,153,39,17,0,0,0,0,365
"Denver-Aurora-Lakewood, CO","19740",2024,366,73,251,34,8,0,0,174,105,64,0,24,248,67,27
"Des Moines-West Des Moines, IA","19780",2024,366,247,119,0,0,0,0,93,59,45,0,2,145,217,2
"Detroit-Warren-Dearborn, MI","19820",2024,366,118,237,10,1,0,0,181,77,55,0,1,95,270,0
"Dickinson, ND","19860",2024,366,303,53,9,1,0,0,172,60,38,0,0,277,89,0
"Dodge City, KS","19980",2024,366,317,49,0,0,0,0,80,53,26,0,0,0,214,152
"Douglas, GA","20060",2024,356,240,115,1,0,0,0,137,60,43,0,0,0,356,0
"Dover, DE","20100",2024,336,250,86,0,0,0,0,100,58,41,0,0,195,141,0
"Duluth, MN-WI","20260",2024,366,286,77,3,0,0,0,114,57,39,0,0,223,143,0
"Durango, CO","20420",2024,366,241,123,1,0,1,0,240,74,46,0,1,351,14,0
