CBSA,CBSA Code,Year,Days with AQI,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,Max AQI,90th Percentile AQI,Median AQI,Days CO,Days NO2,Days Ozone,Days PM2.5,Days PM10,city,population,violent_crime,property_crime,murder,rape,robbery,aggravated_assault,burglary,larceny_theft,motor_vehicle_theft,arson,violent_crime_rate,property_crime_rate
"Warner Robins, GA",47580,2024,362,247,114,1,0,0,0,105,60,43,0,0,0,362,0,warner robins,85900.0,572.0,2560.0,7.0,28.0,65.0,472.0,309.0,2043.0,208.0,12.0,665.8905704307334,2980.209545983702
"Washington-Arlington-Alexandria, DC-VA-MD-WV",47900,2024,366,199,159,8,0,0,0,133,75,49,0,15,192,159,0,washington,702250.0,6502.0,25197.0,179.0,239.0,3080.0,3004.0,1671.0,18220.0,5306.0,0.0,925.8810964756141,3588.0384478462083
"Waterloo-Cedar Falls, IA",47940,2024,365,201,164,0,0,0,0,87,60,48,0,0,103,262,0,waterloo,66385.0,316.0,1623.0,3.0,26.0,23.0,264.0,389.0,1101.0,133.0,17.0,476.0111470964826,2444.829404232884
"Watertown, SD",47980,2024,361,269,91,1,0,0,0,102,58,37,0,0,82,256,23,watertown,22337.0,3.0,257.0,0.0,1.0,0.0,2.0,20.0,200.0,37.0,1.0,13.430630791959528,1150.5573711778663
"Wausau, WI",48140,2024,366,311,54,0,1,0,0,151,53,37,0,0,166,200,0,wausau,39949.0,118.0,403.0,1.0,42.0,6.0,69.0,43.0,334.0,26.0,8.0,295.3766051715938,1008.7862024080703
"Weirton-Steubenville, WV-OH",48260,2024,366,220,146,0,0,0,0,97,64,46,0,0,162,204,0,weirton,18151.0,25.0,60.0,2.0,8.0,0.0,15.0,0.0,60.0,0.0,0.0,137.7334582116688,330.56029970800506
"Wenatchee, WA",48300,2024,366,293,68,4,1,0,0,158,62,28,0,0,0,366,0,wenatchee,35523.0,84.0,990.0,0.0,16.0,12.0,56.0,151.0,770.0,69.0,4.0,236.46651465247868,2786.9267798327846
"Wheeling, WV-OH",48540,2024,366,243,123,0,0,0,0,84,61,45,0,2,120,231,13,wheeling,37251.0,23.0,338.0,1.0,11.0,4.0,7.0,81.0,218.0,39.0,1.0,61.74330890445894,907.3581917263967
"Whitewater-Elkhorn, WI",48580,2024,206,169,37,0,0,0,0,100,61,42,0,0,206,0,0,whitewater,15473.0,31.0,111.0,1.0,8.0,2.0,20.0,5.0,95.0,11.0,0.0,200.3489950235895,717.3786596005946
"Wichita, KS",48620,2024,366,208,153,4,1,0,0,196,67,47,0,1,195,149,21,wichita,395486.0,2130.0,9108.0,33.0,131.0,197.0,1769.0,1039.0,7083.0,986.0,78.0,538.577851049089,2302.989233500048
